Company Name,Overall Rating,Number of Reviews,Highly Rated %,Critical Rated %,About
TCS,3.3,(1.1L),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +438 other locations
Accenture,3.7,(71.4k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Bangalore / Bengaluru +255 other locations
Wipro,3.6,(63.5k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Hyderabad / Secunderabad +370 other locations
Cognizant,3.6,(59.8k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Hyderabad / Secunderabad +230 other locations
Capgemini,3.7,(51.5k),"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +183 other locations
HDFC Bank,3.8,(50.7k),"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Banking | Mumbai +1827 other locations
Infosys,3.5,(47.3k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +247 other locations
ICICI Bank,4.0,(45.1k),"Job Security, Promotions / Appraisal, Skill Development / Learning",,Banking | Mumbai +1438 other locations
HCLTech,3.4,(44.5k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Chennai +229 other locations
Tech Mahindra,3.4,(42.4k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Hyderabad / Secunderabad +332 other locations
Genpact,3.6,(40.9k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Hyderabad / Secunderabad +181 other locations
Teleperformance,3.8,(36.7k),,,BPO | Mumbai +255 other locations
Jio,4.4,(32.6k),"Job Security, Company Culture, Work Life Balance",,Telecom | Mumbai +1918 other locations
Axis Bank,3.6,(32.4k),"Promotions / Appraisal, Work Satisfaction, Company Culture",,Banking | Mumbai +1505 other locations
Concentrix Corporation,3.6,(31.4k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO | Bangalore / Bengaluru +176 other locations
Amazon,3.9,(30.8k),"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Internet | Bangalore / Bengaluru +520 other locations
iEnergizer,4.6,(27.1k),"Company Culture, Job Security, Skill Development / Learning",,BPO | Noida +51 other locations
Reliance Retail,3.9,(27k),"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Retail | Mumbai +1156 other locations
LTIMindtree,3.6,(25.8k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Bangalore / Bengaluru +145 other locations
IBM,3.9,(25.3k),"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,IT Services & Consulting | Bangalore / Bengaluru +160 other locations
HDB Financial Services,3.9,(25.2k),"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",NBFC | Mumbai +1090 other locations
